restaurant_name,negatif,nötr,pozitif,toplam,pozitif_%,negatif_%
Durak Pide Lahmacun,0,0,20,20,100.0,0.0
Pizza Grasso,0,0,5,5,100.0,0.0
Cumbali EV Restaurant,0,0,4,4,100.0,0.0
Dallino's Pizzeria,0,0,4,4,100.0,0.0
Onurhan,0,0,3,3,100.0,0.0
Turabdin Pizzeria Mardin Pizza Köyü,0,0,3,3,100.0,0.0
Leylan Kafe,0,0,2,2,100.0,0.0
Perili Bahçe,0,0,2,2,100.0,0.0
Elite Cafe,0,0,1,1,100.0,0.0
JB Vegan Jack & The Beanstalk Cafe,0,0,1,1,100.0,0.0
Kehribar,0,0,1,1,100.0,0.0
Keyfi Teras Kahvaltı Salonu,0,0,1,1,100.0,0.0
Lelyo Shop,0,0,1,1,100.0,0.0
Mare Kokoreç,0,0,1,1,100.0,0.0
Nucan Restaurant,0,0,1,1,100.0,0.0
Pizzeria Gabriel,0,0,1,1,100.0,0.0
Tas Evi Cafe,0,0,1,1,100.0,0.0
Tas Ocak Pide ve Lahmacun,0,0,1,1,100.0,0.0
Vahap 86 Restaurant,0,0,1,1,100.0,0.0
Erdoba Evleri,0,1,22,23,95.7,0.0
Siras Winehouse,1,0,12,13,92.3,7.7
Izla Art Cafe,0,1,8,9,88.9,0.0
Revan Kafe Restoran,0,2,15,17,88.2,0.0
Dafne Restaurant,1,0,6,7,85.7,14.3
Al Hayaal,15,15,155,185,83.8,8.1
Leyli Muse Mutfak,16,9,121,146,82.9,11.0
Kebapçı Yusuf Usta,9,15,109,133,82.0,6.8
Ildo cafe patisserie,5,3,34,42,81.0,11.9
Şahin Tepesi Restaurant,1,6,29,36,80.6,2.8
Haci Gazi Kebap,0,1,4,5,80.0,0.0
Huqqamar Cafe Restaurant,0,1,4,5,80.0,0.0
Isot Lahmacun,0,1,4,5,80.0,0.0
Seyr-i Merdin,80,101,698,879,79.4,9.1
Asude I Merdin Cafe,15,16,118,149,79.2,10.1
Hamdani Restaruant,1,3,15,19,78.9,5.3
Artuklu Eski Konak Kafe,2,0,7,9,77.8,22.2
Reyhani Kasri Hotel Restaurant,0,2,7,9,77.8,0.0
Dedecan Ocakbaşı Mardin,5,2,24,31,77.4,16.1
Kaburgacı Dayım,17,21,129,167,77.2,10.2
Kasr-i Kaya (Ciğerci Yusuf),1,1,6,8,75.0,12.5
Çağdaş Et Lokantası,1,1,6,8,75.0,12.5
Eyvan Mahalli Yemekler Salonu,1,0,3,4,75.0,25.0
Lolee Restaurant & Patisserie,9,1,29,39,74.4,23.1
Doboo Restaurant,25,24,142,191,74.3,13.1
Bagdadi,52,47,263,362,72.7,14.4
Cercis Murat Konağı,75,106,442,623,70.9,12.0
Sadik Kunefe,11,32,104,147,70.7,7.5
Han Mutfak Sanatlari Restaurant,12,6,42,60,70.0,20.0
Mila Cafe,4,2,14,20,70.0,20.0
Marmatbah,1,2,7,10,70.0,10.0
Rıdo Kebap Salonu,11,40,116,167,69.5,6.6
Adana Dostlar kebapcısı,8,3,24,35,68.6,22.9
Yasemin Pide VE Lahmacun,5,7,24,36,66.7,13.9
Sinek Cafe,1,4,10,15,66.7,6.7
Markulo Fasıl,0,1,2,3,66.7,0.0
Old Town Cafe Mardin,0,1,2,3,66.7,0.0
Suzana Restaurant,1,0,2,3,66.7,33.3
Sultan Sofrasi,13,14,53,80,66.2,16.2
Yay Konağı,6,1,13,20,65.0,30.0
M. Kesman Kebapçı Rıdo,5,1,10,16,62.5,31.2
Çağ Urfa Sofrası,3,3,10,16,62.5,18.8
Chef Dimr Et,2,1,5,8,62.5,25.0
Beyti Ocakbaşı,3,2,8,13,61.5,23.1
Shmayaa Restoran,4,0,6,10,60.0,40.0
Ebrar Mahalli Yemekler,19,8,35,62,56.5,30.6
Merdo cafe & bistro,3,2,6,11,54.5,27.3
mardin merlin konagi,4,5,10,19,52.6,21.1
Sofya Restaurant,1,4,5,10,50.0,10.0
Taus,4,0,4,8,50.0,50.0
Retro Cafe & Steak Burger,2,0,2,4,50.0,50.0
David People,1,0,1,2,50.0,50.0
Vaha Restaurant,0,1,1,2,50.0,0.0
Antik Sur Restaurant,53,39,87,179,48.6,29.6
Delmar Restaurant,12,11,21,44,47.7,27.3
Artuklu Eski Konak Cafe & Kahvaltı Salonu,2,4,5,11,45.5,18.2
Beyzade Konağı Restoran Kafe,5,2,3,10,30.0,50.0
Mardehan Restaurant,2,1,1,4,25.0,50.0
Emirgan Kafe,3,2,1,6,16.7,50.0
Mualla Tatlı Krallığı,5,0,1,6,16.7,83.3
Cafe Günaydin Restaurant,1,1,0,2,0.0,50.0
Mado Cafe,1,1,0,2,0.0,50.0
Derik Et Lokantası,0,1,0,1,0.0,0.0
Elegance Restoran,1,0,0,1,0.0,100.0
Kultur Cafe,1,0,0,1,0.0,100.0
Leylan Cafe,0,1,0,1,0.0,0.0
Nazende Restaurant,1,0,0,1,0.0,100.0
Tülay lokantası,0,1,0,1,0.0,0.0
şeyhanlı,0,1,0,1,0.0,0.0
