restaurant_name,review_title,review_text,visit_date,travel_type,full_review,clean_review,review_length,has_turkish
Adana Dostlar kebapcısı,Mardin tabağını deneyin efsaneydi,Yemeklerimiz güzel geldi biz mardin tabağını tercih ettik turla gittiğimiz bir yerdi yöresel lezzetleri güzeldi tabak doyurucuydu,18 Haziran 2025,arkadaşlar,Mardin tabağını deneyin efsaneydi Yemeklerimiz güzel geldi biz mardin tabağını tercih ettik turla gittiğimiz bir yerdi yöresel lezzetleri güzeldi tabak doyurucuydu,Mardin tabağını deneyin efsaneydi Yemeklerimiz güzel geldi biz mardin tabağını tercih ettik turla gittiğimiz bir yerdi yöresel lezzetleri güzeldi tabak doyurucuydu,163,True
Adana Dostlar kebapcısı,Dostlar,"Tur şirketlerinin götürdüğü bir nevi halk aş evi niteliğinde bir yer, kalabalık, tam anlamıyla doymuş ve müşteri memnuniyetini önemsemeyen bir işletme, verilen parayı hak etmeyen bir yer, buraya gideceğinize karşı marketten kraker ayran yiyin derim, kendiniz karar verin benden bu kadar",24 Mayıs 2025,arkadaşlar,"Dostlar Tur şirketlerinin götürdüğü bir nevi halk aş evi niteliğinde bir yer, kalabalık, tam anlamıyla doymuş ve müşteri memnuniyetini önemsemeyen bir işletme, verilen parayı hak etmeyen bir yer, buraya gideceğinize karşı marketten kraker ayran yiyin derim, kendiniz karar verin benden bu kadar",Dostlar Tur şirketlerinin götürdüğü bir nevi halk aş evi niteliğinde bir yer kalabalık tam anlamıyla doymuş ve müşteri memnuniyetini önemsemeyen bir işletme verilen parayı hak etmeyen bir yer buraya gideceğinize karşı marketten kraker ayran yiyin derim kendiniz karar verin benden bu kadar,289,True
Adana Dostlar kebapcısı,En kotu deneyim,"Turla birlikte öğlen yemeği icin gittik ve inanilmaz kotuydu hersey.Porsiyonlar cok kucuk, asiri pahali ve personel oldukca kabaydi. Cok kotu bir deneyimdi ve hicbir zaman tercih etmem.",4 Nisan 2025,çiftler,"En kotu deneyim Turla birlikte öğlen yemeği icin gittik ve inanilmaz kotuydu hersey.Porsiyonlar cok kucuk, asiri pahali ve personel oldukca kabaydi. Cok kotu bir deneyimdi ve hicbir zaman tercih etmem.",En kotu deneyim Turla birlikte öğlen yemeği icin gittik ve inanilmaz kotuydu hersey Porsiyonlar cok kucuk asiri pahali ve personel oldukca kabaydi Cok kotu bir deneyimdi ve hicbir zaman tercih etmem,198,True
Adana Dostlar kebapcısı,Vasat,Bi Urfa Adana Antep te yerdiğiniz yemeğinin tadını kesinlikle bulamıyorsunuz ama fiyat olarak daha gazla ücret talep ediyor..,1 Nisan 2025,aile,Vasat Bi Urfa Adana Antep te yerdiğiniz yemeğinin tadını kesinlikle bulamıyorsunuz ama fiyat olarak daha gazla ücret talep ediyor..,Vasat Bi Urfa Adana Antep te yerdiğiniz yemeğinin tadını kesinlikle bulamıyorsunuz ama fiyat olarak daha gazla ücret talep ediyor,129,True
Adana Dostlar kebapcısı,Berbat,Mardin’e özgü yemekler için tercih ettik ama güneydoğuda yediğimiz en kötü yemekti. Mardin tabağı görseldekinin aksine çok küçük ve hiç doyurucu değil. İçle köfte yenilecek gibi değildi. Tabaktaki herşey soğuktu. Sanırım önceden hazırlayıp kolay olsun diye müşteri geldiğinde getiriliyor. Servis çok kötüydü. Kasa da bile güler yüz yok. Patronları ikinci salata yediniz mi diye sordu. Esnaflık yok paranıza yazık etmeyin.,16 Ekim 2024,arkadaşlar,Berbat Mardin’e özgü yemekler için tercih ettik ama güneydoğuda yediğimiz en kötü yemekti. Mardin tabağı görseldekinin aksine çok küçük ve hiç doyurucu değil. İçle köfte yenilecek gibi değildi. Tabaktaki herşey soğuktu. Sanırım önceden hazırlayıp kolay olsun diye müşteri geldiğinde getiriliyor. Servis çok kötüydü. Kasa da bile güler yüz yok. Patronları ikinci salata yediniz mi diye sordu. Esnaflık yok paranıza yazık etmeyin.,Berbat Mardin e özgü yemekler için tercih ettik ama güneydoğuda yediğimiz en kötü yemekti Mardin tabağı görseldekinin aksine çok küçük ve hiç doyurucu değil İçle köfte yenilecek gibi değildi Tabaktaki herşey soğuktu Sanırım önceden hazırlayıp kolay olsun diye müşteri geldiğinde getiriliyor Servis çok kötüydü Kasa da bile güler yüz yok Patronları ikinci salata yediniz mi diye sordu Esnaflık yok paranıza yazık etmeyin,419,True
Adana Dostlar kebapcısı,Mutlaka ugrayin,"Akdeniz yöresinde sogan ve Avrupada yasan cifler olarak 9,9 veriyoruz.
 Esim ile bize lezzetli etleri ve mezeleri bize Hatay-Adana-Mardin mutfaklarini tadini yasatti.
Servisi ve personeli cok hos ve takdire deger bir sekilde güler yüzle düzenli uyguladilar. 
Fiyatlarin eski Mardin de yedigimiz yemeklerden hem daha lezzetli bol hemde daha uygun.
Salata nin ve mezelerin bollugu ve tadlari eski mardindeki ucuk fiyatlardan ve masadaki azliklarindan bin kat daha iyi.",21 Eylül 2024,çiftler,"Mutlaka ugrayin Akdeniz yöresinde sogan ve Avrupada yasan cifler olarak 9,9 veriyoruz.
 Esim ile bize lezzetli etleri ve mezeleri bize Hatay-Adana-Mardin mutfaklarini tadini yasatti.
Servisi ve personeli cok hos ve takdire deger bir sekilde güler yüzle düzenli uyguladilar. 
Fiyatlarin eski Mardin de yedigimiz yemeklerden hem daha lezzetli bol hemde daha uygun.
Salata nin ve mezelerin bollugu ve tadlari eski mardindeki ucuk fiyatlardan ve masadaki azliklarindan bin kat daha iyi.",Mutlaka ugrayin Akdeniz yöresinde sogan ve Avrupada yasan cifler olarak 9 9 veriyoruz Esim ile bize lezzetli etleri ve mezeleri bize Hatay Adana Mardin mutfaklarini tadini yasatti Servisi ve personeli cok hos ve takdire deger bir sekilde güler yüzle düzenli uyguladilar Fiyatlarin eski Mardin de yedigimiz yemeklerden hem daha lezzetli bol hemde daha uygun Salata nin ve mezelerin bollugu ve tadlari eski mardindeki ucuk fiyatlardan ve masadaki azliklarindan bin kat daha iyi,475,True
Adana Dostlar kebapcısı,Vasat,Eşim ve bebeğimle şehirdışından geldik turlar ile anlaştıklarını ifade ettiler kapıdan geri çevirdiler boş masalar vardı nezaket misafirperverlik berbattı,19 Haziran 2024,aile,Vasat Eşim ve bebeğimle şehirdışından geldik turlar ile anlaştıklarını ifade ettiler kapıdan geri çevirdiler boş masalar vardı nezaket misafirperverlik berbattı,Vasat Eşim ve bebeğimle şehirdışından geldik turlar ile anlaştıklarını ifade ettiler kapıdan geri çevirdiler boş masalar vardı nezaket misafirperverlik berbattı,160,True
Adana Dostlar kebapcısı,Bence,Lezzet olarak kötü degildi.3 defa ekmek istedim gelmedi. Porsiyonlar okadar küçükki resimde gözüktüğü gibi degil kesinlikle Mardin kebabı geliyor 1 şişi 3 paraya bölmüşler. Uygun felan da degil 280 TL idi. Bence gelinmez,11 Nisan 2024,aile,Bence Lezzet olarak kötü degildi.3 defa ekmek istedim gelmedi. Porsiyonlar okadar küçükki resimde gözüktüğü gibi degil kesinlikle Mardin kebabı geliyor 1 şişi 3 paraya bölmüşler. Uygun felan da degil 280 TL idi. Bence gelinmez,Bence Lezzet olarak kötü degildi 3 defa ekmek istedim gelmedi Porsiyonlar okadar küçükki resimde gözüktüğü gibi degil kesinlikle Mardin kebabı geliyor 1 şişi 3 paraya bölmüşler Uygun felan da degil 280 TL idi Bence gelinmez,223,True
Adana Dostlar kebapcısı,Tavsiye Etmiyorum!!!!,"Öncelikle turla katılmış olduğumuz için bizi kısıtlı bir alana oturmak zorunda bıraktılar. Sipariş takibi yapmakta zorlanıyorlar. getirdikleri tabak masa masa dolaştı sahibini bulana kadar. bizim sipariş ettiğimiz pideyi unuttukları için hatırlattıktan sonra yapıp getirdiler. Ürünler fena değildi ama servis ve fiyat politikası kötü. Meni listesinde su, içecek ve salata menüye dahil görünmesine rağmen her birinden ayrı ücret aldılar. Bu nedenle yüksek hesap ödemek zorunda kaldık. Turdaki herkes memnuniyetsizliğini tur görevlilerine de söyledi. Tuvaletlerde hijyen sıfır. Çöpler her yerdeydi. Asla tavsiye etmiyorum.",17 Kasım 2023,business,"Tavsiye Etmiyorum!!!! Öncelikle turla katılmış olduğumuz için bizi kısıtlı bir alana oturmak zorunda bıraktılar. Sipariş takibi yapmakta zorlanıyorlar. getirdikleri tabak masa masa dolaştı sahibini bulana kadar. bizim sipariş ettiğimiz pideyi unuttukları için hatırlattıktan sonra yapıp getirdiler. Ürünler fena değildi ama servis ve fiyat politikası kötü. Meni listesinde su, içecek ve salata menüye dahil görünmesine rağmen her birinden ayrı ücret aldılar. Bu nedenle yüksek hesap ödemek zorunda kaldık. Turdaki herkes memnuniyetsizliğini tur görevlilerine de söyledi. Tuvaletlerde hijyen sıfır. Çöpler her yerdeydi. Asla tavsiye etmiyorum.",Tavsiye Etmiyorum Öncelikle turla katılmış olduğumuz için bizi kısıtlı bir alana oturmak zorunda bıraktılar Sipariş takibi yapmakta zorlanıyorlar getirdikleri tabak masa masa dolaştı sahibini bulana kadar bizim sipariş ettiğimiz pideyi unuttukları için hatırlattıktan sonra yapıp getirdiler Ürünler fena değildi ama servis ve fiyat politikası kötü Meni listesinde su içecek ve salata menüye dahil görünmesine rağmen her birinden ayrı ücret aldılar Bu nedenle yüksek hesap ödemek zorunda kaldık Turdaki herkes memnuniyetsizliğini tur görevlilerine de söyledi Tuvaletlerde hijyen sıfır Çöpler her yerdeydi Asla tavsiye etmiyorum,626,True
Adana Dostlar kebapcısı,Hizmetiniz için çok teşekkürler adana,Yediğim en iyi adana dürümü tavsiye ederim aile için çok iyi bı restoran çok güzel teşekkürler adana dostlar kebapçısı,22 Ekim 2023,aile,Hizmetiniz için çok teşekkürler adana Yediğim en iyi adana dürümü tavsiye ederim aile için çok iyi bı restoran çok güzel teşekkürler adana dostlar kebapçısı,Hizmetiniz için çok teşekkürler adana Yediğim en iyi adana dürümü tavsiye ederim aile için çok iyi bı restoran çok güzel teşekkürler adana dostlar kebapçısı,156,True
