restaurant_name,negatif,nötr,pozitif,toplam,pozitif_%,negatif_%
Old Town Cafe Mardin,0,0,3,3,100.0,0.0
David People,0,0,2,2,100.0,0.0
Perili Bahçe,0,0,2,2,100.0,0.0
Derik Et Lokantası,0,0,1,1,100.0,0.0
Elite Cafe,0,0,1,1,100.0,0.0
Nucan Restaurant,0,0,1,1,100.0,0.0
Pizzeria Gabriel,0,0,1,1,100.0,0.0
Tas Evi Cafe,0,0,1,1,100.0,0.0
şeyhanlı,0,0,1,1,100.0,0.0
Durak Pide Lahmacun,3,1,16,20,80.0,15.0
Huqqamar Cafe Restaurant,1,0,4,5,80.0,20.0
Revan Kafe Restoran,2,2,13,17,76.5,11.8
Dallino's Pizzeria,1,0,3,4,75.0,25.0
Eyvan Mahalli Yemekler Salonu,1,0,3,4,75.0,25.0
Sofya Restaurant,2,1,7,10,70.0,20.0
Siras Winehouse,2,2,9,13,69.2,15.4
Markulo Fasıl,1,0,2,3,66.7,33.3
Onurhan,0,1,2,3,66.7,0.0
Turabdin Pizzeria Mardin Pizza Köyü,1,0,2,3,66.7,33.3
Asude I Merdin Cafe,46,12,91,149,61.1,30.9
Haci Gazi Kebap,2,0,3,5,60.0,40.0
Izla Art Cafe,3,1,5,9,55.6,33.3
Reyhani Kasri Hotel Restaurant,3,1,5,9,55.6,33.3
Beyti Ocakbaşı,6,0,7,13,53.8,46.2
Al Hayaal,76,10,99,185,53.5,41.1
Han Mutfak Sanatlari Restaurant,24,4,32,60,53.3,40.0
Hamdani Restaruant,9,0,10,19,52.6,47.4
Erdoba Evleri,8,3,12,23,52.2,34.8
Ildo cafe patisserie,11,10,21,42,50.0,26.2
Chef Dimr Et,4,0,4,8,50.0,50.0
Retro Cafe & Steak Burger,2,0,2,4,50.0,50.0
Leylan Kafe,1,0,1,2,50.0,50.0
Leyli Muse Mutfak,66,9,71,146,48.6,45.2
Seyr-i Merdin,338,117,424,879,48.2,38.5
Çağ Urfa Sofrası,9,0,7,16,43.8,56.2
Kaburgacı Dayım,89,5,73,167,43.7,53.3
Dafne Restaurant,2,2,3,7,42.9,28.6
Dedecan Ocakbaşı Mardin,17,1,13,31,41.9,54.8
Lolee Restaurant & Patisserie,21,2,16,39,41.0,53.8
Bagdadi,177,39,146,362,40.3,48.9
Beyzade Konağı Restoran Kafe,6,0,4,10,40.0,60.0
Marmatbah,3,3,4,10,40.0,30.0
Shmayaa Restoran,4,2,4,10,40.0,40.0
Isot Lahmacun,3,0,2,5,40.0,60.0
Pizza Grasso,3,0,2,5,40.0,60.0
Doboo Restaurant,107,9,75,191,39.3,56.0
Şahin Tepesi Restaurant,18,4,14,36,38.9,50.0
Kasr-i Kaya (Ciğerci Yusuf),3,2,3,8,37.5,37.5
Taus,5,0,3,8,37.5,62.5
Çağdaş Et Lokantası,3,2,3,8,37.5,37.5
Sadik Kunefe,67,25,55,147,37.4,45.6
Merdo cafe & bistro,7,0,4,11,36.4,63.6
Kebapçı Yusuf Usta,71,16,46,133,34.6,53.4
Adana Dostlar kebapcısı,18,5,12,35,34.3,51.4
Sinek Cafe,8,2,5,15,33.3,53.3
Cercis Murat Konağı,376,43,204,623,32.7,60.4
Ebrar Mahalli Yemekler,40,3,19,62,30.6,64.5
Yasemin Pide VE Lahmacun,23,2,11,36,30.6,63.9
Mila Cafe,14,0,6,20,30.0,70.0
Yay Konağı,13,1,6,20,30.0,65.0
Delmar Restaurant,30,2,12,44,27.3,68.2
mardin merlin konagi,13,1,5,19,26.3,68.4
Cumbali EV Restaurant,3,0,1,4,25.0,75.0
Sultan Sofrasi,54,7,19,80,23.8,67.5
Rıdo Kebap Salonu,103,26,38,167,22.8,61.7
Antik Sur Restaurant,130,12,37,179,20.7,72.6
M. Kesman Kebapçı Rıdo,12,1,3,16,18.8,75.0
Artuklu Eski Konak Cafe & Kahvaltı Salonu,8,1,2,11,18.2,72.7
Mualla Tatlı Krallığı,5,0,1,6,16.7,83.3
Artuklu Eski Konak Kafe,7,1,1,9,11.1,77.8
Emirgan Kafe,6,0,0,6,0.0,100.0
Mardehan Restaurant,2,2,0,4,0.0,50.0
Suzana Restaurant,3,0,0,3,0.0,100.0
Cafe Günaydin Restaurant,1,1,0,2,0.0,50.0
Mado Cafe,2,0,0,2,0.0,100.0
Vaha Restaurant,1,1,0,2,0.0,50.0
Elegance Restoran,1,0,0,1,0.0,100.0
JB Vegan Jack & The Beanstalk Cafe,1,0,0,1,0.0,100.0
Kehribar,1,0,0,1,0.0,100.0
Keyfi Teras Kahvaltı Salonu,0,1,0,1,0.0,0.0
Kultur Cafe,1,0,0,1,0.0,100.0
Lelyo Shop,1,0,0,1,0.0,100.0
Leylan Cafe,1,0,0,1,0.0,100.0
Mare Kokoreç,1,0,0,1,0.0,100.0
Nazende Restaurant,1,0,0,1,0.0,100.0
Tas Ocak Pide ve Lahmacun,1,0,0,1,0.0,100.0
Tülay lokantası,1,0,0,1,0.0,100.0
Vahap 86 Restaurant,1,0,0,1,0.0,100.0
